datetime;DTG_f
2012-09-13;2.60
2012-09-14;2.59
2012-09-15;2.60
2012-09-16;2.61
2012-09-17;2.61
2012-09-18;2.62
2012-09-19;2.63
2012-09-20;2.64
2012-09-21;2.65
2012-09-22;2.66
2012-09-23;2.67
2012-09-24;2.68
2012-09-25;2.68
2012-09-26;2.69
2012-09-27;2.70
2012-09-28;2.71
2012-09-29;2.72
2012-09-30;2.72
2012-10-01;2.72
2012-10-02;2.73
2012-10-03;2.74
2012-10-04;2.75
2012-10-05;2.76
2012-10-06;2.76
2012-10-07;2.76
2012-10-08;2.77
2012-10-09;2.78
2012-10-10;2.79
2012-10-11;2.79
2012-10-12;2.80
2012-10-13;2.81
2012-10-14;2.82
2012-10-15;2.82
2012-10-16;2.81
2012-10-17;2.82
2012-10-18;2.83
2012-10-19;2.83
2012-10-20;2.83
2012-10-21;2.83
2012-10-22;2.84
2012-10-23;2.84
2012-10-24;2.84
2012-10-25;2.85
2012-10-26;2.85
2012-10-27;2.86
2012-10-28;2.86
2012-10-29;2.87
2012-10-30;2.87
2012-10-31;2.87
2012-11-01;2.86
2012-11-02;2.86
2012-11-03;2.87
2012-11-04;2.87
2012-11-05;2.87
2012-11-06;2.87
2012-11-07;2.87
2012-11-08;2.86
2012-11-09;2.84
2012-11-10;2.84
2012-11-11;2.85
2012-11-12;2.86
2012-11-13;2.85
2012-11-14;2.84
2012-11-15;2.83
2012-11-16;2.82
2012-11-17;2.82
2012-11-18;2.80
2012-11-19;2.80
2012-11-20;2.79
2012-11-21;2.79
2012-11-22;2.78
2012-11-23;2.79
2012-11-24;2.78
2012-11-25;2.76
2012-11-26;2.76
2012-11-27;2.77
2012-11-28;2.77
2012-11-29;2.76
2012-11-30;2.76
2012-12-01;2.75
2012-12-02;2.74
2012-12-03;2.74
2012-12-04;2.75
2012-12-05;2.74
2012-12-06;2.72
2012-12-07;2.71
2012-12-08;2.71
2012-12-09;2.71
2012-12-10;2.71
2012-12-11;2.71
2012-12-12;2.70
2012-12-13;2.69
2012-12-14;2.64
2012-12-15;2.65
2012-12-16;2.66
2012-12-17;2.67
2012-12-18;2.65
2012-12-19;2.66
2012-12-20;2.69
2012-12-21;2.68
2012-12-22;2.68
2012-12-23;2.67
2012-12-24;2.66
2012-12-25;2.66
2012-12-26;2.65
2012-12-27;2.65
2012-12-28;2.66
2012-12-29;2.66
2012-12-30;2.64
2012-12-31;2.65
2013-01-01;2.65
2013-01-02;2.65
2013-01-03;2.65
2013-01-04;2.66
2013-01-05;2.66
2013-01-06;2.65
2013-01-07;2.63
2013-01-08;2.63
2013-01-09;2.64
2013-01-10;2.63
2013-01-11;2.62
2013-01-12;2.62
2013-01-13;2.63
2013-01-14;2.63
2013-01-15;2.64
2013-01-16;2.65
2013-01-17;2.65
2013-01-18;2.64
2013-01-19;2.64
2013-01-20;2.63
2013-01-21;2.63
2013-01-22;2.63
2013-01-23;2.63
2013-01-24;2.63
2013-01-25;2.62
2013-01-26;2.60
2013-01-27;2.59
2013-01-28;2.58
2013-01-29;2.59
2013-01-30;2.60
2013-01-31;2.61
2013-02-01;2.61
2013-02-02;2.61
2013-02-03;2.60
2013-02-04;2.59
2013-02-05;2.59
2013-02-06;2.58
2013-02-07;2.59
2013-02-08;2.58
2013-02-09;2.57
2013-02-10;2.58
2013-02-11;2.58
2013-02-12;2.59
2013-02-13;2.59
2013-02-14;2.59
2013-02-15;2.60
2013-02-16;2.60
2013-02-17;2.58
2013-02-18;2.58
2013-02-19;2.56
2013-02-20;2.54
2013-02-21;2.55
2013-02-22;2.56
2013-02-23;2.56
2013-02-24;2.55
2013-02-25;2.57
2013-02-26;2.56
2013-02-27;2.57
2013-02-28;2.58
2013-03-01;2.59
2013-03-02;2.59
2013-03-03;2.57
2013-03-04;2.56
2013-03-05;2.56
2013-03-06;2.55
2013-03-07;2.54
2013-03-08;2.53
2013-03-09;2.53
2013-03-10;2.54
2013-03-11;2.55
2013-03-12;2.54
2013-03-13;2.55
2013-03-14;2.55
2013-03-15;2.54
2013-03-16;2.53
2013-03-17;2.52
2013-03-18;2.53
2013-03-19;2.53
2013-03-20;2.53
2013-03-21;2.51
2013-03-22;2.50
2013-03-23;2.51
2013-03-24;2.52
2013-03-25;2.52
2013-03-26;2.52
2013-03-27;2.52
