Year;Month;Day;Gage 46;Gage 48;Gage 50;Gage 53;Gage 55;Gage 58;Gage 59;Gage 61;Gage 63;Gage 64;Gage 67;Gage 72;Gage 82;Gage 88
2000;1;2;0.254;0.00;0.00;0.508;0.00;0.254;0.254;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2000;1;27;0.00;0.254;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2000;1;29;0.00;0.254;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2000;2;21;0.508;0.00;2.032;0.889;0.00;0.00;0.00;0.00;0.00;0.254;0.00;0.00;0.00;1.143
2000;2;22;5.715;3.683;7.112;7.493;7.493;4.826;3.556;4.826;3.937;6.985;6.985;5.969;6.096;10.160
2000;3;5;0.00;0.254;0.00;0.254;0.254;0.00;0.254;0.254;0.254;0.254;0.00;0.00;0.254;0.00
2000;3;6;4.445;4.191;3.175;4.445;1.905;2.921;2.667;2.413;2.667;1.778;1.524;2.667;2.286;2.286
2000;3;7;1.270;1.143;1.524;2.921;1.524;1.524;1.270;1.016;1.270;1.651;1.778;1.524;1.397;1.397
2000;3;14;0.00;0.254;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2000;3;20;0.00;0.508;0.00;0.00;0.00;0.254;0.254;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2000;3;21;0.254;0.254;0.254;0.00;0.00;0.508;0.00;0.00;0.762;0.635;0.00;0.254;0.00;0.00
2000;3;22;0.762;0.508;0.508;2.159;0.762;1.524;1.651;1.143;2.413;1.016;1.143;1.016;0.762;0.254
2000;3;28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.254;0.00;0.00;0.254;0.00;0.254;0.00
2000;6;1;1.397;1.270;3.683;1.016;0.254;0.762;0.762;0.254;0.254;3.175;1.905;0.254;0.254;0.889
2000;6;2;0.00;0.00;0.00;0.00;0.00;0.00;0.254;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2000;6;5;0.00;0.254;0.889;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.302
2000;6;7;0.00;0.254;0.00;0.00;1.143;0.00;0.254;2.032;0.762;0.00;0.254;0.762;0.00;0.889
2000;6;17;15.113;33.020;7.366;13.716;13.843;14.478;20.066;16.764;16.256;18.034;11.557;13.335;0.00;7.493
2000;6;18;0.00;0.00;18.034;0.762;4.826;0.00;0.00;1.524;0.00;3.302;2.667;4.191;0.00;8.763
2000;6;19;1.270;5.588;4.826;2.286;14.478;7.493;12.192;26.035;26.543;11.430;16.129;16.510;0.00;1.143
2000;6;20;0.00;0.381;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
