Year;Month;Day;Gage_1;Gage_3;Gage_4;Gage_5;Gage_7;Gage_8;Gage_45;Gage_46;Gage_56;Gage_57;Gage_58;Gage_59;Gage_62;Gage_63;Gage_72
1981;1;6;0.00;0.00;0.25;0.00;0.00;0.00;0.00;0.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;1;7;0.00;0.00;12.19;0.00;0.00;0.00;0.00;10.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;1;11;0.00;0.00;1.78;0.00;0.00;0.00;0.00;0.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;1;12;0.00;0.00;9.91;0.00;0.00;0.00;0.00;7.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;1;16;0.00;0.00;4.32;0.00;0.00;0.00;0.00;0.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;2;9;0.00;0.00;8.38;0.00;0.00;0.00;0.00;11.94;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;2;10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;2;25;0.00;0.00;0.25;0.00;0.00;0.00;0.00;0.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;2;27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.78;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;3;2;0.00;0.00;16.51;0.00;0.00;0.00;0.00;9.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;3;3;0.00;0.00;8.64;0.00;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;3;4;0.00;0.00;1.02;0.00;0.00;0.00;0.00;1.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;3;5;0.00;0.00;5.59;0.00;0.00;0.00;0.00;1.78;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;3;6;0.00;0.00;1.52;0.00;0.00;0.00;0.00;3.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;3;20;0.00;0.00;9.14;0.00;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;4;2;0.00;0.00;0.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;4;17;0.00;0.00;1.27;0.00;0.00;0.00;0.00;3.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;4;22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;4;29;0.00;0.00;2.79;0.00;0.00;0.00;0.00;0.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;4;30;0.00;0.00;2.29;0.00;0.00;0.00;0.00;0.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;5;1;0.00;0.00;3.56;0.00;0.00;0.00;0.00;4.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;5;29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;5;30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1981;6;25;1.27;3.05;6.10;16.00;4.57;9.65;8.64;1.52;0.25;1.02;1.02;1.27;0.51;0.25;0.00
1981;6;27;6.86;19.81;7.11;8.64;8.13;9.65;0.76;1.27;1.78;2.03;0.00;0.00;0.00;0.00;0.00
1981;6;28;0.00;0.00;0.00;0.00;0.00;0.00;0.51;0.00;4.06;1.52;0.00;0.00;1.02;0.00;0.00
1981;6;29;7.62;7.11;7.62;5.84;8.89;5.59;3.05;3.05;6.10;5.59;6.10;7.62;7.37;6.10;0.00
1981;6;30;0.51;0.25;1.02;1.27;0.51;0.51;6.10;8.38;8.64;10.92;7.11;5.59;8.64;8.38;0.00
1981;7;1;1.02;1.27;0.25;1.02;0.00;0.00;0.25;0.25;1.02;0.25;0.00;0.51;0.00;0.25;0.00
1981;7;6;6.10;5.84;7.11;5.59;8.13;8.89;8.13;6.60;18.54;8.89;10.92;12.45;9.65;8.89;12.45
1981;7;8;3.05;0.51;19.81;8.38;17.27;13.21;3.05;1.52;9.14;3.56;0.51;1.52;28.19;10.92;0.00
1981;7;9;8.89;3.30;0.76;0.51;0.51;0.25;0.76;0.00;0.00;0.51;0.76;1.02;0.00;0.25;0.00
1981;7;10;0.00;0.00;0.25;0.00;0.76;0.00;0.00;0.00;0.00;0.00;0.25;0.76;0.25;0.51;0.00
1981;7;11;0.00;0.00;0.25;0.00;1.02;0.00;2.54;0.00;0.25;0.76;1.27;1.78;0.51;0.25;0.00
1981;7;12;11.18;7.11;7.87;9.65;13.21;13.72;6.86;2.54;12.70;7.87;4.57;8.13;3.30;7.62;4.57
1981;7;14;6.10;9.91;0.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.25;1.02;0.00;0.51;0.00
1981;7;15;0.00;0.00;0.00;0.00;0.00;0.00;12.19;10.16;26.67;14.48;24.13;47.24;9.40;19.05;18.29
1981;7;16;3.30;2.29;1.52;1.27;1.02;1.02;7.62;8.89;6.10;4.57;8.64;11.94;4.32;5.08;3.81
