Year;Month;Day;Gage 1;Gage 3;Gage 4;Gage 5;Gage 7;Gage 8;Gage 45;Gage 46;Gage 56;Gage 57;Gage 58;Gage 59;Gage 62;Gage 63;Gage 72;Gage 92
2000;1;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.254;0.00;0.254;0.254;0.254;0.254;0.00;0.00;0.381
2000;2;21;3.048;1.397;1.016;1.016;1.524;1.397;3.048;0.508;0.635;1.143;0.00;0.00;0.00;0.00;0.00;2.159
2000;2;22;0.762;1.016;1.397;1.905;1.778;2.286;9.779;5.715;8.128;11.176;4.826;3.556;4.445;3.937;5.969;1.524
2000;2;24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.254
2000;3;5;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.254;0.254;0.254;0.00;0.00
2000;3;6;6.477;6.223;6.350;7.747;5.969;6.604;4.191;4.445;3.556;2.667;2.921;2.667;1.778;2.667;2.667;7.874
2000;3;7;2.032;1.143;1.270;2.540;1.524;1.778;1.270;1.270;2.032;1.651;1.524;1.270;1.905;1.270;1.524;2.286
2000;3;20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.254;0.254;0.00;0.00;0.00;0.00
2000;3;21;0.762;0.508;0.762;0.254;0.635;0.508;0.00;0.254;0.00;0.254;0.508;0.00;0.00;0.762;0.254;0.508
2000;3;22;0.00;0.00;0.00;0.00;0.00;0.00;0.762;0.762;1.397;1.143;1.524;1.651;1.143;2.413;1.016;0.00
2000;3;27;0.00;0.00;0.00;0.254;0.254;0.254;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2000;3;28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.254;0.00;0.00;0.00
2000;6;1;7.239;6.731;6.604;6.223;5.080;6.477;0.762;1.397;0.508;0.762;0.762;0.762;0.254;0.254;0.254;9.144
2000;6;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.254;0.00;0.00;0.00;0.00
2000;6;5;0.00;0.00;0.00;0.00;0.00;0.00;1.270;0.00;1.905;1.143;0.00;0.00;0.00;0.00;0.00;0.00
2000;6;7;0.00;0.00;0.508;0.00;0.254;0.254;0.00;0.00;3.556;0.00;0.00;0.254;0.254;0.762;0.762;0.00
2000;6;17;0.00;0.254;0.00;0.254;0.00;0.00;12.573;15.113;10.541;8.509;14.478;20.066;12.319;16.256;13.335;0.00
2000;6;18;0.00;0.00;0.00;0.00;0.00;0.00;1.905;0.00;8.001;14.986;0.00;0.00;0.254;0.00;4.191;0.00
2000;6;19;0.00;0.00;0.00;0.254;0.254;0.508;0.381;1.270;13.208;1.778;7.493;12.192;49.911;26.543;16.510;0.00
2000;6;20;4.826;4.318;4.064;3.556;1.905;2.794;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.191
2000;6;21;0.00;0.00;0.00;0.00;0.00;0.254;0.00;0.00;0.00;0.00;0.00;2.667;3.429;7.493;0.00;0.00
2000;6;22;9.398;4.953;2.159;1.397;1.778;2.159;2.032;1.905;0.635;1.143;0.254;0.254;0.00;0.00;0.254;4.191
2000;6;23;0.254;0.00;0.508;0.508;0.254;0.889;1.270;2.032;0.889;1.143;2.921;13.716;10.033;11.430;2.921;0.254
2000;6;27;11.430;10.541;6.731;9.017;6.731;0.00;14.605;20.066;18.288;15.240;13.335;11.557;11.303;9.271;13.462;11.557
2000;6;28;0.00;1.397;0.00;0.00;0.00;0.635;0.00;0.00;0.00;0.00;0.254;0.00;0.00;0.00;0.00;0.00
2000;6;29;10.414;12.192;7.620;8.636;1.778;6.223;9.271;3.302;15.367;10.033;4.318;1.778;7.874;5.334;9.906;7.874
2000;6;30;0.00;0.00;0.254;0.00;0.254;0.00;0.00;0.00;2.667;0.00;0.00;1.397;0.889;1.270;1.270;0.00
2000;7;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.254;0.00;0.00;0.254;0.00;0.00;0.00;0.00
2000;7;3;0.00;0.00;0.00;0.00;0.00;0.00;0.381;0.00;0.00;0.254;0.00;0.635;0.00;0.00;0.00;0.00
2000;7;7;11.557;8.382;14.478;9.779;26.416;13.589;4.953;8.382;15.748;12.573;8.382;7.747;21.844;11.684;14.986;13.716
2000;7;8;0.00;0.00;0.00;0.00;0.381;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2000;7;9;2.667;3.175;0.00;0.254;0.00;0.00;2.667;1.778;2.413;0.635;1.651;8.128;1.651;5.461;3.175;0.508
2000;7;13;3.048;1.905;4.318;5.334;3.429;4.699;2.159;4.191;6.604;1.651;2.540;3.048;4.445;2.794;3.048;5.715
2000;7;14;0.00;0.381;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2000;7;15;0.00;0.00;0.00;0.00;0.00;0.00;1.397;0.00;0.762;1.778;0.00;0.00;0.00;0.00;0.00;0.00
2000;7;16;0.00;0.254;0.254;3.048;0.254;0.889;3.810;7.239;13.970;13.589;19.177;15.113;14.351;28.448;18.923;0.00
2000;7;21;0.00;0.00;0.00;0.254;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2000;7;22;0.00;0.00;0.00;0.508;0.254;0.254;3.175;4.699;11.938;6.477;8.890;14.605;8.763;7.747;10.541;0.00
2000;7;23;8.001;7.747;5.842;7.620;6.604;6.350;5.207;5.842;6.477;5.334;5.715;5.715;4.699;5.080;5.080;8.382
2000;7;24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.254;0.00;0.00;0.00;0.00
2000;7;25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.381;0.254;0.00;0.00;0.00
2000;7;26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.254;0.762;0.00;0.00;0.635;0.635;0.889;0.00
2000;7;27;1.397;5.715;14.605;10.414;8.890;6.477;0.00;0.254;0.254;0.254;0.00;0.00;0.00;0.00;0.00;6.731
2000;7;28;9.271;20.320;13.081;20.320;14.605;8.763;0.508;0.254;0.508;0.508;0.00;0.00;0.00;0.00;0.254;12.700
2000;7;29;0.00;0.00;0.00;0.00;0.00;0.00;0.635;1.524;1.905;3.048;5.715;2.159;0.762;0.00;2.413;0.00
2000;7;30;1.270;3.048;0.254;7.366;3.048;8.382;1.778;0.254;9.779;3.556;0.00;0.00;0.00;0.00;1.143;0.889
2000;7;31;0.00;0.00;0.00;0.00;0.00;0.00;4.191;0.508;3.683;2.413;0.508;0.635;1.270;0.00;1.651;0.00
2000;8;3;0.00;0.00;0.635;0.00;1.524;0.254;13.589;3.429;9.525;15.494;4.699;4.699;2.540;4.191;5.842;0.254
2000;8;4;3.937;3.937;2.921;5.715;3.302;6.096;0.254;0.00;0.381;0.889;0.00;0.00;0.00;0.00;0.00;5.588
2000;8;5;0.254;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2000;8;6;18.669;12.573;24.638;18.161;15.367;15.113;41.021;50.927;32.512;38.481;42.418;53.848;31.115;48.260;34.417;27.813
2000;8;7;0.00;2.032;0.00;0.00;0.00;0.254;9.144;6.096;17.018;17.145;14.097;18.796;12.446;25.527;25.908;0.00
2000;8;9;25.908;21.336;0.00;8.763;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.508;0.00;0.00;10.414
2000;8;10;7.874;6.985;2.794;8.001;1.397;1.651;4.318;3.683;2.921;4.318;3.937;2.794;5.461;2.413;1.651;5.334
2000;8;11;17.272;21.844;1.905;15.367;3.556;10.922;48.641;45.085;17.780;45.847;47.244;44.323;15.875;52.705;34.163;3.683
2000;8;12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.254;2.667;1.270;0.00;0.00
2000;8;13;0.254;0.00;0.254;0.254;0.00;0.00;0.254;0.635;0.889;0.254;1.524;5.842;5.461;4.826;1.524;0.00
2000;8;17;23.114;11.176;18.796;12.954;14.224;12.827;9.906;13.081;11.430;9.017;11.557;12.446;15.367;10.414;15.113;21.463
2000;8;18;2.159;2.159;1.905;2.413;1.905;1.905;1.524;2.159;1.905;1.651;1.651;2.286;1.270;1.905;1.651;2.286
2000;8;20;17.399;10.922;22.860;18.161;20.955;15.748;0.508;1.143;0.508;1.143;2.540;3.810;2.794;3.048;1.778;14.986
2000;8;22;0.00;0.00;0.00;0.00;0.254;0.00;0.254;0.508;0.00;0.254;0.254;0.254;0.00;0.00;0.00;0.00
2000;8;23;0.254;0.00;0.254;0.254;0.889;0.254;1.905;1.651;6.477;3.429;1.524;1.270;5.715;2.667;4.826;0.508
2000;8;25;2.159;3.810;5.080;4.953;0.00;6.731;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.381;0.254;10.541
2000;8;26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.016;0.254;0.00;0.00;0.254;0.00;0.00
2000;8;27;17.780;17.526;25.781;11.684;28.575;18.796;9.652;14.859;9.525;6.604;6.731;8.001;5.334;8.763;7.239;17.018
2000;8;28;6.604;6.731;7.239;8.255;7.112;6.731;9.271;10.287;6.985;7.747;6.985;7.239;6.223;6.350;5.715;7.747
2000;8;29;0.254;0.00;0.254;0.889;0.254;0.635;17.653;16.637;1.651;9.271;6.477;8.763;0.889;1.905;1.778;0.508
2000;8;30;15.240;12.065;8.001;11.303;4.064;4.572;2.032;2.794;1.016;0.762;0.762;0.254;0.635;0.508;0.508;16.637
2000;9;9;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.254;0.254;0.00;0.00;0.381;0.00;0.00;0.00;0.00
2000;9;26;4.064;2.794;2.921;1.905;3.175;1.651;4.953;3.302;1.397;2.159;0.889;0.508;0.762;0.254;0.889;5.207
2000;9;27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.254;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2000;9;29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.254;0.00;0.00;0.00;0.00;0.00
2000;10;7;0.00;0.254;0.254;0.889;0.254;0.00;6.731;13.081;9.271;7.874;14.351;0.508;6.985;3.429;10.160;0.00
2000;10;8;2.159;1.778;2.159;2.540;1.905;1.905;1.016;1.016;1.524;1.016;0.254;0.508;0.508;0.00;0.508;2.159
2000;10;10;17.907;19.177;15.875;19.050;18.542;17.780;12.954;17.653;24.003;15.621;16.891;21.463;17.780;19.558;16.256;18.161
2000;10;11;24.257;23.749;22.098;28.321;30.607;26.797;36.068;38.354;43.180;36.195;38.100;43.815;40.259;40.259;35.179;30.099
2000;10;12;10.668;9.271;11.684;14.859;15.494;15.748;14.859;13.716;15.748;13.716;12.446;6.477;10.541;7.874;14.605;12.827
2000;10;13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.254;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2000;10;18;0.635;0.508;0.508;0.635;0.508;1.016;0.00;0.00;0.254;0.635;0.254;0.00;1.651;0.635;0.254;0.762
2000;10;19;14.986;15.240;14.605;15.113;16.764;14.224;34.544;22.606;31.242;22.987;23.368;20.574;20.447;25.146;23.495;19.558
2000;10;20;3.175;3.048;0.00;0.635;0.254;0.254;0.254;0.889;0.889;0.00;0.508;0.508;0.00;1.143;0.635;0.762
2000;10;21;0.254;0.00;0.00;0.00;0.00;0.508;4.445;1.651;1.270;3.302;1.270;1.905;1.270;1.270;0.762;0.00
2000;10;22;34.925;36.195;30.353;35.306;33.782;32.258;34.671;35.306;43.180;35.560;34.925;32.893;36.576;33.782;35.560;36.576
2000;10;23;0.254;0.00;0.762;0.762;1.270;1.016;1.905;2.286;2.921;2.286;2.540;2.540;2.540;2.540;2.159;0.508
2000;10;27;3.048;2.667;4.064;3.810;4.953;4.445;13.335;15.113;14.224;15.240;9.017;9.398;9.398;8.636;10.287;2.921
2000;10;28;1.143;1.143;2.032;1.905;2.286;2.159;5.715;5.461;7.112;6.096;6.223;5.969;7.366;6.604;5.842;2.159
2000;10;31;3.048;2.159;3.302;3.048;4.572;3.302;1.651;1.397;1.905;1.143;1.270;0.762;0.508;0.762;1.016;4.064
2000;11;3;0.00;0.00;0.00;0.00;0.00;0.00;0.508;0.254;1.524;2.413;1.270;1.270;1.016;1.905;1.524;0.00
2000;11;4;6.223;7.366;7.747;8.763;9.398;8.509;10.541;11.176;13.716;11.303;10.668;11.557;11.430;11.049;11.176;8.763
2000;11;5;0.381;0.254;0.254;0.254;0.508;0.254;1.905;1.905;1.905;1.905;2.286;2.286;1.905;1.905;1.905;0.254
2000;11;6;10.287;7.366;7.747;7.874;9.906;8.128;14.224;12.700;15.875;12.700;12.065;10.922;11.049;12.065;11.430;11.557
2000;11;7;6.985;6.858;10.795;10.160;11.811;11.049;8.382;9.652;5.715;9.017;9.906;6.985;5.842;7.239;5.842;8.763
2000;11;8;0.00;0.00;0.254;0.00;0.254;0.00;0.00;1.905;0.00;0.00;0.254;0.00;0.00;0.00;0.00;0.254
2000;11;11;2.159;1.524;2.921;2.032;4.191;2.032;4.191;3.556;6.096;4.572;4.826;5.969;5.461;5.588;5.588;3.048
2000;11;12;0.00;0.00;0.00;0.00;0.00;0.254;0.00;0.00;0.254;0.254;0.00;0.00;0.00;0.00;0.254;0.00
2000;12;12;4.826;4.953;4.445;4.572;4.191;4.826;1.651;0.762;2.413;1.651;0.762;0.254;0.762;0.508;1.016;5.080
2000;12;13;0.00;0.254;0.254;0.00;0.00;0.00;0.254;0.00;1.143;0.889;0.254;0.00;0.508;0.00;0.635;0.00
2001;1;6;14.224;25.527;7.747;19.939;7.874;15.494;8.509;6.477;6.477;7.493;5.588;4.191;5.588;4.953;5.334;11.938
2001;1;8;2.667;2.794;3.302;4.191;3.175;2.667;0.508;0.635;0.889;0.635;0.254;0.254;0.254;0.254;0.508;3.810
2001;1;9;13.716;14.224;11.938;14.605;12.446;14.351;11.684;8.636;14.986;11.430;11.303;11.430;11.557;15.113;13.081;14.986
2001;1;10;0.00;0.00;0.254;0.00;0.00;0.254;0.00;0.00;0.762;0.00;0.00;0.00;4.826;1.397;3.175;0.254
2001;1;12;3.302;2.921;4.445;3.810;3.810;4.064;1.524;2.032;0.508;0.254;0.00;0.00;0.254;0.00;0.508;4.064
2001;1;13;0.00;0.00;0.00;0.00;0.00;0.00;4.445;3.810;4.953;6.731;6.858;5.588;4.826;7.239;6.477;0.00
2001;1;14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.254;0.00;0.00;0.00;0.00;0.254
2001;1;16;2.413;1.905;3.048;2.159;3.810;3.302;3.810;1.651;4.318;4.445;2.413;1.397;2.286;2.286;3.302;2.921
2001;1;17;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.508;0.00;0.00;0.00;0.254;0.00;0.508;0.00
2001;1;18;0.889;0.254;0.00;0.00;0.254;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2001;1;27;2.413;1.905;1.905;0.00;2.159;2.540;1.778;2.159;2.413;2.413;2.413;1.524;1.778;1.651;1.524;2.921
2001;1;28;1.905;0.254;1.143;1.651;1.397;1.905;1.016;1.016;0.508;0.508;1.143;2.032;2.159;1.397;0.254;1.651
2001;1;29;0.00;0.00;0.00;0.00;0.00;0.00;0.254;0.508;0.00;0.762;0.762;0.254;0.762;0.762;0.635;0.00
2001;2;8;0.00;0.00;0.00;0.00;0.00;0.254;0.00;0.508;0.254;0.508;0.508;0.254;0.254;0.00;0.254;0.254
2001;2;9;0.00;0.254;0.254;0.00;0.00;0.254;0.00;0.254;0.00;0.00;0.254;0.00;0.00;0.254;0.00;0.254
2001;2;15;0.00;0.00;0.254;0.00;0.254;0.254;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.254
2001;2;28;1.016;1.397;2.286;2.032;3.175;1.778;3.175;3.175;3.429;2.667;2.921;2.413;1.524;2.286;2.667;2.540
2001;3;7;7.112;7.112;7.493;7.239;8.382;7.620;8.382;8.255;7.874;7.366;7.366;7.747;7.493;7.239;6.731;9.144
2001;4;5;4.953;4.572;5.588;6.223;7.874;5.842;3.683;3.175;2.032;3.302;2.286;2.032;1.016;1.270;1.778;4.445
2001;4;6;8.763;10.033;10.541;11.557;13.462;11.811;13.843;14.097;11.938;12.573;12.573;11.049;10.541;9.779;10.922;9.652
2001;4;10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.254;0.00;0.00;0.00;0.00
2001;4;22;0.00;0.00;0.254;0.254;0.508;0.254;1.397;1.524;0.508;1.270;1.905;1.524;0.762;0.00;1.397;0.254
