"","date","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"1","1986.01.17",1087,669,791,1089,878,568,593,572,895,877,566,887,881,915,1098,806,476,826,1309,1208,786,528,577,1098,1104,996,1322,704,714,1107
"2","1986.03.22",1123,795,802,1004,1366,605,1006,839,1143,1797,943,1433,1452,1173,2012,1787,944,892,2203,2202,1902,804,742,1747,2460,2391,1668,1137,818,1740
"3","1986.06.10",2004,2346,2013,2484,3653,1049,1639,1328,2831,2866,2717,2974,2489,1464,3411,2411,3111,1594,3526,3983,2935,2105,2324,3953,3637,3069,2684,2020,1577,3560
"4","1986.09.14",2364,1612,2171,2713,2841,1042,1391,1209,1975,2029,1936,2985,1868,1433,2600,1949,1535,1701,3739,3619,2142,1397,2358,4098,3243,2404,2590,2055,1320,3072
"5","1987.01.04",1102,522,541,788,1022,508,548,534,789,764,295,894,896,806,896,787,430,804,1017,1142,673,506,537,1133,1017,1142,894,679,786,1141
"6","1987.02.05",932,784,696,810,872,761,612,603,802,775,584,885,771,1013,995,908,799,760,997,1191,995,561,682,1095,991,989,769,610,815,1295
"7","1987.04.10",1089,1023,836,975,1160,665,855,833,1165,1630,712,1495,1834,939,2028,1878,1166,936,1904,2118,1679,839,665,1612,2757,2258,1849,1398,732,1690
"8","1987.05.12",2051,1946,1875,2467,3116,1040,1691,1345,2240,2443,1651,2781,2247,1345,2856,2290,2330,1627,3197,3644,2479,1531,2241,3796,3505,3296,2629,1953,1406,3072
"9","1987.06.13",2334,2434,2312,2539,3701,1107,1974,1203,2608,2934,2157,3406,2338,1533,3387,2716,2597,1659,3867,4261,3032,2185,2566,4228,3818,3280,2602,2440,1589,3927
"10","1987.06.29",2212,2621,2321,2315,4089,1260,1981,1491,2254,3202,2286,2835,2542,1493,3089,2330,2791,1806,3922,4240,3076,2073,2664,4274,4070,3449,3003,2107,1977,3984
"11","1987.08.16",2728,2109,2542,2845,3393,1196,1883,1355,1825,2437,1767,3148,2076,1564,2984,2277,2138,1739,3862,3979,2915,1869,2623,3813,3733,2867,2948,2725,1578,3670
"12","1987.09.01",2483,2043,2623,3163,3640,1050,1496,1057,2302,2760,2019,3124,2309,1643,3021,2216,2078,1935,3654,3808,2950,2082,2749,3955,3420,2673,2970,2471,1484,3637
"13","1987.10.03",2370,1748,2055,2605,3165,870,1228,1058,2266,2472,1995,1909,2198,1667,2767,1971,1856,1653,3087,3573,2448,1432,2308,3433,3082,2318,2417,1776,1498,2824
"14","1987.10.19",2118,2078,2038,2321,2699,886,1489,1204,2038,2308,1935,1626,1710,1343,2341,1730,1707,1597,2704,3255,2823,1527,1673,3062,2995,2057,1960,1971,1432,2442
"15","1988.05.14",1945,1998,1541,1527,2509,1082,1377,1225,2136,2768,1343,1578,2420,1179,2788,1847,2181,1420,2525,2842,2566,1847,1647,3101,3115,2638,2370,1855,1172,2307
"16","1988.06.15",2223,2228,2012,2400,3523,1439,1902,1798,2779,3016,2470,2882,2552,1300,3256,2449,2745,1733,3313,3846,3325,3119,2808,4085,3630,3008,2577,2068,1589,3414
"17","1988.07.09",2569,2258,2393,2382,3894,1472,1840,1430,2904,3231,2549,2905,2849,1803,3499,2486,2948,2168,3907,4219,3850,3107,3107,4469,3975,3343,2815,2234,2005,3865
"18","1988.07.25",2547,2784,2636,2893,3764,1424,2175,1715,2654,3250,2415,3349,2842,1725,3284,2661,2777,1961,3993,4077,3667,2855,3162,4067,4022,3211,2715,2766,1867,3730
"19","1988.09.19",2578,2198,2243,2497,3151,1181,1752,1233,1970,2303,1569,2673,2019,1474,2961,2168,2185,1902,3851,3542,2746,1304,2569,3709,3274,2826,2615,1945,1415,3463
"20","1989.04.15",1729,2052,1562,1773,2393,1102,1648,1595,2251,2844,1562,1972,2191,1727,2926,2347,2138,1551,2652,3161,3348,2245,2045,3256,2998,3176,2255,1925,1267,2236
"21","1989.05.01",1862,2159,1665,1959,2878,1311,1853,1497,2812,3088,1838,2371,2706,1468,3253,2379,2778,1775,2960,3234,3133,1912,2145,3509,3546,3021,2483,1726,1607,2653
"22","1989.06.10",2157,2309,2073,2502,3958,1913,2567,1772,3856,3120,3159,2629,3057,1657,3647,2553,3016,1858,3069,3827,3866,3344,2959,3918,3708,3003,2557,2316,2019,3549
"23","1989.06.18",2181,2275,2140,2347,4063,1798,2525,1781,3837,3114,3228,2289,2446,1632,3554,2471,3343,1692,3180,3701,3940,3501,3166,3819,3603,2983,2759,2275,1960,3484
"24","1989.06.26",2091,2678,2224,2094,3819,1841,3081,1827,3410,3053,3626,2467,2479,1622,3696,2415,3219,1743,3025,3637,3646,4197,2690,3478,3576,2721,2311,2286,1857,3286
"25","1989.07.04",2256,2594,2303,2222,4059,2038,2786,2151,4013,2929,3505,2107,2482,1677,3668,2253,3336,1837,3182,3579,4161,4090,3086,3606,3458,2908,2643,2264,1924,3426
"26","1989.07.20",2394,2282,2189,2295,3763,2209,2847,2044,2961,2488,3301,2075,1972,1758,3354,2056,3201,1797,2964,3048,3349,3902,2693,3043,3322,2751,2543,2343,1732,3359
"27","1989.10.08",2269,2081,2195,2076,3323,1146,1778,1853,2663,3183,1777,2065,2401,1473,3115,2411,2565,1771,3088,3527,3776,2183,2540,3709,3699,2749,2386,1881,1638,3262
"28","1989.10.24",2170,2259,2027,2212,3293,1050,1395,1655,2535,2567,1880,2063,2037,1258,2774,2527,2139,1762,2861,3349,3363,1832,2296,3668,3422,2865,1991,1849,1331,3343
"29","1990.04.18",1436,1422,1465,1349,2860,1223,1453,1629,2873,2932,1589,1993,2043,1227,3656,2482,2578,1478,2103,3191,3026,2216,1906,2952,3409,3445,1809,1862,1173,1746
"30","1990.05.04",1734,1991,1734,1792,3006,1373,1767,1677,3029,2947,1917,2255,2025,1484,3518,2590,2879,1478,2299,3581,3492,2604,2237,3315,3351,3154,2114,2010,1506,2617
"31","1990.06.05",2216,2265,2420,2500,3570,2116,2834,1860,3657,3346,2847,2312,2704,1684,4002,2465,4016,1861,3104,3884,4221,3611,3236,3562,3703,3104,2877,1979,1985,3778
"32","1990.06.21",2134,2312,2423,2217,3767,2375,2661,1860,3880,3215,2974,2505,2617,1445,4157,2735,4175,1671,3147,3827,4260,3894,3274,3302,3616,3042,2570,2780,1745,3759
"33","1990.08.24",2766,2646,3268,3576,3966,1118,1920,2105,3120,3199,2381,3014,2922,2230,3469,2735,2723,2806,4595,3852,3520,2756,3054,4018,3866,3104,2918,2487,2193,4060
"34","1990.09.09",2661,2607,2678,3700,3508,1403,2249,2188,3119,2902,2372,2754,2405,2126,3137,2807,2171,2729,3927,3690,3476,2849,3272,3709,3884,2657,2743,2667,1809,3979
"35","1990.10.11",2236,1680,2110,2843,3162,982,1524,1712,3021,2334,2152,1689,2353,1622,2614,2175,1897,1792,2734,3148,2853,2000,2639,2992,3471,1864,2106,1894,1689,2598
"36","1990.10.27",1959,1343,1747,1638,2548,1020,1607,1734,2210,2440,1617,1706,1451,1316,1948,1640,1767,1624,2036,2442,2514,1763,1739,2458,2854,1430,1357,1423,1319,2419
"37","1991.03.20",926,364,523,607,904,623,624,1056,1345,1209,544,1060,908,791,1610,1057,833,781,1056,1434,1276,830,835,1134,1567,1643,749,914,562,978
"38","1991.04.05",1051,695,634,713,1533,846,796,1005,1965,2042,866,1275,1426,1130,2326,1720,1478,1065,1618,1791,1939,1448,985,1597,2317,2160,1557,998,661,1665
"39","1991.04.21",1590,1343,1403,1212,2633,946,1269,1359,2437,2268,1212,1592,2183,1429,2588,2240,2062,1653,2028,2605,2599,1942,1691,2624,2502,2391,2095,1515,1152,1626
"40","1991.05.23",1909,2304,1713,2254,3381,1141,1809,1682,3045,3132,2113,2295,2251,1754,3204,2610,3053,1656,2970,3406,3570,2831,2583,3050,3329,3064,2609,1816,1561,2969
"41","1991.06.24",2171,2599,2111,2545,3763,1693,2296,1985,3205,3264,3028,2606,2488,1781,3604,2519,3356,2031,3268,3761,3510,3342,3233,3522,3455,2979,2308,2199,1920,3663
"42","1991.09.04",2607,2357,2195,2736,3911,1790,2333,2498,3642,2894,2511,2453,2786,2353,3626,2849,2970,2531,3518,3649,3544,2841,3318,3608,3630,2642,2384,2038,2236,3452
"43","1991.10.14",2211,1918,2215,2472,3144,1200,1675,1964,3448,2546,2401,1811,2007,1434,2815,2192,2478,1642,2563,3144,3098,1630,2627,2969,2923,2104,1563,1967,1644,2543
"44","1992.05.09",2069,2096,2284,2301,3235,1727,2177,2051,3273,2860,2618,2353,2505,1611,3429,2686,3196,1982,2837,3103,3596,2903,2957,3113,3148,2686,2227,2197,1725,2609
"45","1992.06.10",2443,2578,2798,2848,3875,2692,2951,2769,3769,2997,4137,3010,2928,1716,4007,2640,3484,2383,3124,3498,3474,3649,3331,3584,3242,2996,2210,2701,2007,3233
"46","1992.06.26",2031,2630,2729,2839,3994,2834,3168,2533,3669,3184,4267,2861,2642,1899,3833,2518,3546,1940,3023,3558,3506,4256,3688,3276,3418,2784,1935,2483,2003,3145
"47","1992.07.04",2281,2620,2790,2939,4054,3164,3111,2274,3550,3303,4114,2891,2604,1807,3949,2620,3647,2067,3128,3630,3665,4315,3436,3406,3363,2880,2360,2762,2133,3169
"48","1992.09.30",2393,2126,2558,2507,3096,1691,2116,2193,3047,2642,2279,2445,2226,2016,2847,2661,2691,2008,2850,2786,2730,2018,2703,2771,2661,2430,2019,2085,1797,2318
"49","1992.10.16",1918,1875,2170,1763,2659,1306,1731,1778,3147,2620,1941,1582,1694,1553,2604,2481,2267,1530,2293,2454,2822,2036,2170,2637,2387,2122,1904,1705,1612,2045
"50","1992.11.17",1507,1081,1353,1363,1830,1089,1176,1593,1945,1484,1430,1284,1371,1090,1746,1647,1855,1270,1778,1746,2178,1386,1372,1754,1569,1746,974,1358,1178,1183
"51","1993.01.20",791,897,907,796,897,NA,NA,NA,910,780,1118,755,780,NA,1124,680,794,NA,653,897,1018,786,1011,782,1131,1013,772,NA,679,771
"52","1993.02.21",870,437,456,855,1022,539,489,468,874,747,379,925,546,710,1114,771,554,877,732,919,651,430,749,935,840,933,921,663,677,1018
"53","1993.03.09",1011,764,526,802,1089,504,790,683,716,935,368,926,523,745,1284,867,935,824,851,1008,1163,603,859,1087,1008,1087,852,719,728,1092
"54","1993.04.10",1792,1669,1720,1438,3033,746,1422,1248,2755,2371,1032,2285,2205,1371,3029,2328,2240,1298,2264,2809,2316,2003,1958,2989,2767,2933,2346,2275,1438,1708
"55","1993.06.13",2429,2893,2588,2905,3832,2044,2166,2329,3100,3295,3002,2693,3204,1890,3631,2566,3047,2322,3009,3514,3284,2716,3287,3606,3570,2664,2222,2386,2104,3255
"56","1993.06.29",2451,2643,2688,3024,3994,1727,2354,2343,2980,3270,2806,2546,3487,1718,3573,2490,3055,2002,3039,3823,3642,3194,3340,3686,3573,2852,2595,2877,2146,3519
"57","1993.07.31",2657,2979,2942,3233,4118,2211,2551,2774,3268,3452,3179,2745,3041,1852,3925,2898,3285,2562,3420,4135,3404,2978,3764,3875,3932,3058,2721,2572,2303,3687
"58","1993.09.17",2833,2788,2741,3214,3730,1684,2119,2037,2790,2755,2548,2862,2611,1820,3450,2592,2557,2567,3233,3148,3106,2641,3213,3303,3326,2509,2581,2399,2228,3205
"59","1993.11.20",1423,1377,1354,1253,1748,1154,1241,1151,1955,1377,964,954,1429,876,1635,1251,1372,1244,1271,1558,1726,1168,1462,1668,1763,1263,861,1162,1061,1274
"60","1993.12.06",1379,1112,1104,1103,1519,899,1004,1099,1597,1315,892,1115,1003,911,1409,1307,1113,912,1113,1227,1394,1114,1221,1426,1218,788,887,1307,1001,1110
"61","1994.01.07",1201,697,916,1022,1258,1126,807,1008,1245,928,813,695,928,809,1244,918,1049,908,936,1159,1038,818,1168,1038,1045,926,582,921,701,1036
"62","1994.03.28",1212,1307,1295,891,1972,1144,1025,964,1528,1950,1231,1171,1525,1086,2125,1737,1377,1086,1313,1909,1849,1305,1229,1499,2122,1778,1308,1091,1089,1317
"63","1994.05.15",1876,2678,1889,1969,3308,1718,2222,1772,3010,3141,2396,2223,2622,1250,3191,2488,2748,1778,2213,3164,3062,2776,2522,2987,3248,2682,1771,2049,1576,2281
