"","date","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"1","1986.01.17",794,408,376,663,568,568,714,806,813,562,691,371,586,562,727,899,993,688,797,902,1079,790,1169,1084,695,816,995,907,816,897
"2","1986.03.22",938,1070,586,804,752,685,880,706,825,1070,1130,581,601,796,877,1000,1440,1065,819,1172,1104,1060,1228,1183,871,1058,939,941,758,937
"3","1986.06.10",1180,1119,956,1382,1129,1381,1227,1133,1033,1000,898,1059,1064,999,924,1065,1174,1065,1328,1080,1136,1021,1034,1127,1020,1075,995,1087,1030,1125
"4","1986.09.14",1730,1997,1797,2324,1871,2304,2059,1893,1830,2241,2335,2277,1768,1919,1736,2198,2574,2139,1900,2021,1972,1761,2015,2006,1888,2056,2041,1949,1978,2190
"5","1987.01.04",1003,500,NA,675,472,786,904,803,725,550,577,311,341,557,595,568,581,570,795,904,910,581,1000,677,455,795,817,801,704,581
"6","1987.02.05",908,557,219,612,725,618,842,839,765,597,631,393,618,597,648,425,539,712,736,666,855,630,843,632,618,650,934,667,833,634
"7","1987.04.10",972,960,770,841,914,671,920,759,815,833,902,628,655,641,911,719,668,901,917,810,1033,1083,1029,966,849,854,1032,868,748,787
"8","1987.05.12",1391,1512,1403,1505,1496,1448,1437,1492,1238,1568,1618,1178,1346,1683,1446,1405,1561,1511,1540,1289,1482,1664,1341,1446,1558,1657,1486,1337,1342,1559
"9","1987.06.13",1234,1226,1222,1652,1384,1750,1584,1336,986,944,1004,1159,1114,996,976,1001,1227,1115,1483,1136,1290,1175,1284,1280,1279,1283,1286,1337,1286,1230
"10","1987.06.29",1259,946,1153,1416,1307,1464,1355,1111,912,825,939,981,994,875,957,880,1103,944,1356,1011,1256,1053,1156,1206,1103,1153,1063,1161,1208,1107
"11","1987.08.16",1558,1815,1467,2099,1625,2033,1823,1661,1613,1715,2051,1099,1699,1351,2076,2083,2551,2107,1828,1618,1899,1581,1668,2079,1754,2030,1818,1667,1840,2156
"12","1987.09.01",1633,1794,1551,1965,1649,1836,1689,1635,1692,1736,1788,1368,1484,1621,1871,2276,2247,2270,1858,1756,1834,1790,1748,2065,1782,2065,1630,1580,1532,2473
"13","1987.10.03",1527,1995,1427,1828,1479,1617,1593,1411,1887,1288,1156,1217,1219,1219,1411,1558,1820,1294,1599,1279,1802,1550,1524,1476,1623,1612,1220,1343,1345,1624
"14","1987.10.19",1603,1752,1293,1432,1273,1355,1473,1203,1460,907,914,963,909,905,999,982,1133,1060,1272,1204,1505,1279,1335,1414,1357,1416,1138,999,1066,1134
"15","1988.05.14",1070,1058,947,1212,1112,1160,1165,1167,874,782,852,1102,898,836,863,780,842,891,1312,1118,1079,1008,1066,1064,899,1114,1120,922,961,1005
"16","1988.06.15",1137,872,857,1172,1030,1070,939,991,751,700,764,944,811,747,840,742,809,805,1090,939,1053,919,893,1027,915,930,1001,944,782,974
"17","1988.07.09",1125,930,852,1131,1052,1135,1008,884,722,903,769,820,747,775,767,746,775,837,974,1012,1023,859,904,998,1023,829,979,962,883,854
"18","1988.07.25",1346,1487,1144,1428,1227,1376,1231,1145,1137,1216,1283,1310,1274,1261,1549,1234,1366,1606,1197,1327,1353,1263,1127,1213,1308,1050,1496,1545,1597,2277
"19","1988.09.19",1690,2255,1624,1543,1471,1668,1462,1578,1628,2404,2191,2116,2606,2414,2815,2772,2945,1904,1927,1520,1828,1795,1752,1592,1606,1901,1612,1515,1703,2404
