"","date","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"1","1986.01.17",993,874,766,754,881,995,875,882,876,880,880,878,875,759,762,1097,777,633,768,765,875,771,753,750,870,993,870,771,768,757
"2","1986.03.22",1009,935,867,935,863,873,861,941,941,801,661,944,720,792,867,1460,739,791,794,868,632,795,942,866,864,938,789,872,793,868
"3","1986.06.10",2550,2864,2338,3151,2526,2482,2765,2958,3156,2675,2875,3281,2756,3280,3014,2032,2549,2496,3143,3081,3311,2890,3327,2802,3544,2449,3156,2398,2450,3014
"4","1986.09.14",2694,3252,2888,3212,2996,2959,3176,3236,2558,2537,2713,3160,3068,3611,3400,2468,2863,2735,3195,4020,3134,3573,3768,2769,2860,3123,3256,3177,3681,3285
"5","1987.01.04",632,632,762,757,757,767,892,765,767,897,769,497,509,756,627,781,650,625,629,627,622,631,1025,625,755,767,759,631,489,761
"6","1987.02.05",769,646,764,863,646,770,764,670,877,991,775,757,872,637,763,797,777,643,759,871,748,873,748,759,865,665,643,653,653,759
"7","1987.04.10",819,882,753,885,818,962,893,899,1507,1594,1164,825,828,824,899,857,780,825,899,967,967,901,819,823,1439,824,893,696,829,897
"8","1987.05.12",1901,2285,1959,2462,2156,1828,2285,2415,2415,2088,2107,2800,1790,2587,2565,1861,1980,2339,2097,2608,2613,2448,2832,1984,2554,2250,2388,2151,2025,2629
"9","1987.06.13",3004,3511,2818,3608,3136,2826,3228,3397,3759,3327,3495,3603,3659,3797,3451,1978,2866,3199,3757,3340,3923,3305,3832,3563,4106,2954,3697,3099,3131,3424
"10","1987.06.29",3088,3560,2959,3759,3034,2928,3310,3295,3901,3367,3487,3546,3710,3764,3454,2037,2801,3263,3834,3529,3831,3326,3711,3701,4093,3043,3859,3023,2981,3452
"11","1987.08.16",3514,3670,3382,3781,3689,3439,3513,3849,3931,3905,3880,3540,4088,3773,3757,2605,3296,3297,3767,3866,3832,3668,4071,3708,3950,3607,3924,3201,3135,3573
"12","1987.09.01",3487,3665,3078,3675,3446,3031,3508,3645,3682,3415,3535,3334,3883,3774,3616,2671,3427,3140,3675,3497,3400,3490,4083,3459,3922,3663,3884,3244,3046,3311
"13","1987.10.03",2511,2540,2400,3185,2377,2353,2720,2871,2544,2330,2584,2569,2479,2292,2364,2129,2339,2419,2441,2350,2090,2567,2609,2496,2489,2664,2749,2212,2258,2271
"14","1987.10.19",2087,2022,2005,2588,1946,1960,2268,2378,2035,1840,1988,2098,1865,1811,1795,2240,1901,2110,1790,1691,1559,1872,1984,2014,1957,2162,2025,1626,1768,1717
"15","1988.05.14",1330,1452,1278,1460,1219,1060,1106,1454,1291,1231,954,1713,1059,1474,1585,1439,1176,1477,1524,1461,1473,1236,1785,1119,1467,1331,1003,1236,1344,1590
"16","1988.06.15",2737,3004,2481,3291,2627,2647,2912,2955,3327,2849,2743,3343,2620,3188,3058,1865,2469,2918,3150,3045,3283,2682,3370,2864,3330,2533,2846,2317,2486,3086
"17","1988.07.09",3203,3560,3046,3834,3016,3216,3462,3426,3746,3439,3412,3502,3307,3661,3502,2291,2643,3355,NA,3292,3848,3381,3937,3342,4001,3138,3377,2612,3233,3173
"18","1988.07.25",3309,3717,3153,3823,3228,3351,3477,3632,4062,4095,3820,3570,3705,3793,3554,2878,2781,3371,3984,3936,3962,3670,3908,3619,4080,3462,3787,2960,3753,3517
"19","1988.09.19",2732,3554,3211,3495,3058,3204,2951,3224,2866,2750,3028,3192,3061,3442,3534,2894,2864,2926,3581,3985,2825,3770,3896,2791,2866,3416,2926,3196,3798,3253
"20","1989.04.15",1214,1280,1215,1416,1219,1277,1224,1411,1300,1352,1418,1687,1042,1427,1674,1839,1471,1620,1361,1485,1431,1418,1765,1173,1627,1214,1173,1168,1228,1808
"21","1989.05.01",1407,1886,1517,2731,1474,1511,1538,1932,1438,1480,1552,2250,1392,2152,2478,1709,1638,2385,2021,2324,2204,2175,2969,1566,1685,1576,1445,1426,1541,2662
"22","1989.06.10",2220,2871,2414,3430,2346,2485,2606,2709,2806,2406,2422,3256,2090,2980,3074,1924,2382,3072,2720,2948,3063,2740,3321,2339,2921,2311,2388,2026,1707,3120
"23","1989.06.18",2396,3053,2543,3317,2425,2542,2682,2851,2875,2451,2581,3302,2270,3009,3165,1928,2394,3009,2866,2969,3099,2779,3348,2741,2961,2495,2623,1977,1868,3072
"24","1989.06.26",2372,3082,2370,3280,2333,2486,2438,2728,2898,2546,2459,3104,2187,2929,2899,3115,2333,2870,2714,2860,2942,2544,3259,2599,3035,2523,2545,1967,1859,2975
"25","1989.07.04",2424,3116,2585,3473,2505,2878,2657,2944,2980,2654,2630,3205,2299,2903,3036,2059,2499,3003,2957,2980,3140,2822,3410,2724,3054,2580,2881,2011,2177,3001
"26","1989.07.20",2851,3172,2689,3470,2714,2906,2707,2869,3417,2703,3064,3035,2688,2617,2764,1703,2798,2923,3130,3067,3030,2466,2982,2916,3200,2799,3112,1842,2258,2529
"27","1989.10.08",2583,3217,2672,3154,2546,2709,2522,2834,2908,2367,2639,2964,2549,2922,2878,2101,2705,2678,2810,2963,2841,2695,3408,2833,2750,2923,3121,2231,2376,2898
"28","1989.10.24",2377,2774,2206,3013,2393,2334,2376,2609,2622,2106,2262,2686,2234,2872,2611,1854,2579,2533,2535,2560,2571,2703,3160,2457,2469,2701,2777,1957,2132,2685
"29","1990.04.18",783,901,913,828,778,919,702,915,905,922,917,907,690,974,980,1886,864,848,905,830,966,770,969,911,1039,1040,909,846,774,1044
"30","1990.05.04",1044,1485,1169,1430,1235,1234,1045,1418,1301,1117,1178,1737,1115,1559,1615,2189,1299,1614,1114,1561,1635,1242,1398,NA,1368,1291,1366,1115,927,1809
"31","1990.06.05",2584,3262,2573,3669,2692,2701,2675,2892,3279,2857,2623,3171,2346,3255,3174,2003,2480,2978,2986,3226,3427,2991,3615,2758,3167,2890,3386,2171,2038,2907
"32","1990.06.21",2660,3300,2720,3621,2848,2788,2716,2983,3520,3006,2824,3284,2535,3224,3236,1839,2609,3187,3028,3085,3367,2948,3658,2961,3463,2919,3364,2062,2050,3076
"33","1990.08.24",3207,3787,3407,3928,3687,3988,3396,3681,3813,4392,3037,3530,4026,3882,3793,3256,3361,3295,3844,4211,3471,3782,4113,3359,3865,3911,4018,3007,4095,3295
"34","1990.09.09",3185,3665,3449,3716,3482,3691,3257,3558,3781,3715,3094,3511,3347,3568,3896,3011,3486,3045,3856,4015,3263,3679,4032,3210,3684,3835,3699,3183,3997,3285
"35","1990.10.11",2318,2462,2242,2849,2256,2448,2389,2675,2464,2232,2207,2693,2181,2481,2680,1969,2408,2450,2174,2469,2097,2536,2834,2380,2566,2673,2694,2234,1775,2379
"36","1990.10.27",1616,1885,1889,2311,1622,1771,1794,2114,2043,1529,1602,2285,1361,1621,1874,1881,1923,2022,1451,1534,1451,1884,2140,1881,1891,2041,1869,1437,1172,1955
"37","1991.03.20",820,895,663,562,651,585,574,743,660,661,753,657,564,737,826,987,598,902,657,657,815,818,816,820,654,820,816,826,659,738
"38","1991.04.05",829,959,684,737,749,697,680,839,767,631,787,702,695,847,920,936,715,850,766,845,1058,920,1139,778,912,750,773,847,697,991
"39","1991.04.21",1090,1017,893,879,957,769,953,767,884,834,837,826,953,1089,1221,1332,846,1087,952,1021,1089,1155,1290,1020,1156,821,953,1024,826,1154
"40","1991.05.23",1638,2361,1691,2760,1881,1447,1826,2375,2053,1682,1445,2513,1711,2630,2819,2030,1947,2235,2060,2385,2459,2268,3130,1940,2188,1980,2062,1631,1461,2608
"41","1991.06.24",2450,2887,2465,3431,2418,2520,2654,2947,3172,2683,2522,3155,2378,3270,3172,2084,2503,3040,2861,3170,3190,2945,3577,2848,3319,2671,2924,2285,1881,3025
"42","1991.09.04",2744,3033,2653,3367,2792,2842,2628,3278,3595,3501,3240,2835,2632,3070,3044,2681,2960,2927,3255,3311,3255,3213,3517,2890,3656,2863,3453,2223,2656,2829
"43","1991.10.14",1930,2176,1920,2420,1865,2221,2021,2158,2250,2072,2123,2168,2210,2287,2561,1993,2351,2100,2264,2177,2350,2264,2856,2151,2355,2010,2458,1634,1642,2184
"44","1992.05.09",2070,2257,2239,2445,2250,2096,1971,2467,2597,2770,2531,2546,2523,2830,2757,1920,2275,2368,2695,2749,2708,2709,3041,2360,2555,2455,2549,2175,2440,2536
"45","1992.06.10",2547,2677,2746,3019,2559,2598,2569,3027,3090,2786,2873,2926,2933,3108,3336,2670,2829,2789,2927,3010,3271,3040,3418,2854,3003,2732,2985,2582,2341,3044
"46","1992.06.26",2426,2548,2518,3009,2376,2430,2446,2760,2943,2628,2813,2771,2590,3063,3028,2130,2785,2678,2771,2974,3063,2822,3227,2817,3010,2631,2892,2485,2252,2815
"47","1992.07.04",2483,2616,2537,2916,2428,2558,2560,2795,2982,2544,2796,2880,2686,2880,3023,2329,2589,2579,2690,2781,3110,2921,3211,2864,3128,2593,2871,2315,2199,2846
"48","1992.09.30",2069,2237,2227,2508,2305,2050,2296,2363,2241,2228,2206,1783,2150,1877,2229,2684,2218,2079,2021,2102,2170,2090,2459,2079,2179,2339,2285,1715,2151,2090
"49","1992.10.16",1485,1574,1720,1977,1731,1479,1809,1802,1737,1486,1644,1494,1653,1502,1577,2085,1727,1567,1576,1658,1827,1661,1904,1490,1658,1712,1732,1414,1493,1739
"50","1992.11.17",871,973,1081,1185,1081,878,979,1081,1077,878,979,872,875,1079,1187,1643,1083,981,978,1186,1082,1078,1187,976,971,983,1081,879,978,1187
"51","1993.01.20",507,499,499,499,364,637,507,629,NA,379,499,366,364,491,511,658,509,631,493,491,617,491,491,501,364,629,491,364,244,509
"52","1993.02.21",611,598,508,600,499,624,715,506,501,715,501,613,600,491,704,591,721,613,501,603,697,603,599,711,597,506,501,603,498,597
"53","1993.03.09",661,740,483,648,565,755,659,661,745,752,565,752,737,565,834,872,667,750,648,660,829,660,557,745,653,569,829,569,386,745
"54","1993.04.10",1083,938,803,1161,942,951,877,740,947,1439,950,1304,1098,883,1102,1562,888,1642,663,1389,1179,1100,957,811,1093,729,1170,745,811,1389
"55","1993.06.13",2308,3023,2441,3107,2498,2569,2483,2927,3007,2457,2563,3029,2604,3132,2829,1981,2726,3034,2749,2996,3298,2736,3031,2761,3069,2734,2829,2558,2288,2886
"56","1993.06.29",2427,3036,2572,3209,2585,2584,2514,2946,3092,2586,2785,3045,2661,3097,2904,2161,2676,2988,2868,3013,3314,2890,3113,3004,3325,2798,2931,2419,2289,2906
"57","1993.07.31",2683,3276,2804,3361,2823,2716,2766,2891,3255,2881,2976,3241,2964,3258,3063,2595,2717,3116,3244,3366,3595,3008,3148,3092,3450,2961,3195,2330,2769,3076
"58","1993.09.17",2753,3399,2879,2960,2960,2834,2774,2937,2893,2954,2978,2739,3000,3144,2990,3107,2574,2684,3164,3050,3127,2780,3125,3047,3134,3358,2974,2770,3148,2619
"59","1993.11.20",841,1063,842,1171,725,737,735,846,835,732,842,848,732,954,954,1369,957,1062,598,837,716,843,954,628,722,845,954,731,836,1175
"60","1993.12.06",635,753,753,753,627,643,753,640,619,518,757,877,877,623,629,1311,999,880,873,623,741,752,749,759,619,757,753,752,621,875
"61","1994.01.07",570,692,569,694,562,696,566,572,562,696,694,696,568,564,696,930,570,821,432,697,695,564,564,696,430,441,696,568,432,696
"62","1994.03.28",731,793,655,563,796,729,653,659,715,736,803,659,643,795,721,1027,663,729,636,795,632,725,717,647,721,651,722,582,643,721
"63","1994.05.15",1174,1684,1175,2244,984,869,987,1370,1184,999,996,2002,931,2082,2315,1807,1251,1885,1257,1572,1973,1573,2866,1190,1377,1550,1124,937,861,2373
"64","1994.05.31",1709,2171,1703,2458,1772,1647,1657,2049,2172,1876,1658,2360,1787,2459,2494,2114,2058,2314,2022,2234,2581,2115,2891,1952,2126,1866,2021,1588,1165,2442
"65","1994.06.16",2260,2862,2332,3047,2469,2370,2340,2721,3047,2649,2615,2854,2345,2744,2806,2593,2415,2563,2410,2752,2952,2526,3111,2629,3217,2541,2619,2040,1745,2808
"66","1994.07.02",2333,3141,2530,3267,3053,2636,2615,2716,3106,2764,2689,2826,2554,2831,2905,2166,2589,2473,2660,2748,3076,2556,3239,2838,3363,2577,2905,2016,2054,2920
"67","1994.08.03",2718,3315,2765,3498,3099,2904,2843,2833,3319,3116,2973,2813,3047,2969,3219,2165,2683,2884,2897,2849,2947,2917,3398,3340,3456,2942,3329,2236,2182,3110
"68","1994.10.22",2482,2807,2453,3029,2545,2412,2464,2631,2457,2400,2275,2715,2235,2364,2600,2667,2698,2471,2395,2156,2346,2000,2678,2471,2546,2697,2715,1928,1823,2580
"69","1995.02.11",628,619,622,739,734,739,746,746,850,859,741,734,734,612,855,778,746,741,612,612,843,733,736,741,858,741,855,619,486,855
"70","1995.03.15",1165,1333,636,799,1066,900,809,1161,1853,2148,1657,1434,1674,1076,1433,1408,905,1602,1264,1358,1359,1262,1344,1073,1509,809,1419,1428,732,1518
"71","1995.03.31",1234,1317,928,923,1167,1012,931,1296,2011,2268,2062,1225,2116,1237,1464,2184,1011,1423,1385,1678,1396,1468,1554,1391,1794,998,NA,1684,761,1541
"72","1995.05.18",1332,1922,1524,2305,1533,1455,1655,1896,1717,1701,1647,1781,1900,2052,2095,2642,1585,1915,1659,1969,1737,1853,2726,1336,1776,1913,1720,1652,1659,2172
"73","1995.06.03",2375,2928,2554,3179,2505,2299,2442,2822,3008,2618,2756,2901,2706,2971,3074,2222,2458,2849,2779,2903,3010,2661,3579,2793,3036,2716,2833,2180,2427,2955
"74","1995.06.19",2536,3209,2659,3417,2735,2578,2669,3031,3229,2836,3016,3129,3046,3214,3113,2460,2613,2942,2822,3009,3214,3009,3753,2954,3417,2938,3334,2472,2428,3143
"75","1995.07.05",2598,3334,2734,3424,2747,2533,2802,2993,3249,3020,3165,3078,3008,3286,3146,2727,2677,3024,2956,3130,3246,2916,3422,3024,3320,3076,3235,2362,2347,3144
"76","1995.08.06",2697,3512,2781,3621,2868,2757,2832,3132,3452,3164,3354,3086,3221,3215,3275,2397,2796,2951,3196,3196,3173,2896,3625,3372,3555,3186,3363,2502,2758,3088
"77","1995.09.23",3648,3498,3094,3871,3064,2850,2892,3041,3409,3143,3405,3028,3369,3267,3344,2972,3279,3255,3340,3299,3158,3059,3617,3277,3487,3515,3324,2916,2820,3245
"78","1995.10.09",2603,3151,2825,3448,2953,2651,2671,2981,3074,2968,2950,2926,3053,2985,2985,2660,2829,2934,2807,3002,2933,2836,3440,2814,3298,3225,3276,2596,2879,2919
"79","1995.11.10",2329,2691,2410,2801,1904,1898,2117,2508,2617,2319,2208,2712,2415,2319,2512,1869,2303,2414,2005,2223,2032,2319,2876,2523,2429,2490,2804,1810,1695,2224
"80","1995.12.12",1115,1622,1370,1862,1245,1372,988,1609,1501,1372,1370,1864,1372,1377,1620,1243,1498,1735,1121,1121,1116,1375,1864,1499,1376,1488,1865,1121,994,1627
"81","1996.01.13",701,972,718,1110,703,840,971,845,842,842,979,1239,712,844,844,1114,847,978,712,844,695,978,844,978,695,980,712,717,985,844
"82","1996.01.29",833,831,843,824,702,837,702,727,831,845,967,713,963,835,961,755,845,1084,712,841,697,961,841,723,822,841,959,849,855,833
"83","1996.03.17",762,836,783,868,681,863,789,901,959,670,895,976,871,775,946,1060,965,883,948,867,842,867,935,878,955,860,957,871,952,859
"84","1996.04.18",861,852,874,915,859,1072,861,951,937,956,884,1013,869,1002,1073,1667,955,869,867,1073,849,1078,1066,1011,1209,1006,940,1013,945,999
"85","1996.05.04",1453,2087,1578,2401,1521,1330,1459,1942,1653,1459,1276,2337,1213,2148,2391,1670,1457,2089,1710,2076,2301,1836,2934,1588,1909,1761,1716,1273,1213,2284
"86","1996.05.20",2495,3137,2495,3337,2632,2425,2621,2758,2882,2737,2593,2934,2794,2960,3036,2001,2521,2677,2719,2885,3306,2769,3308,2708,3039,2645,2871,2156,2023,3025
"87","1996.06.05",2650,3166,2639,3494,2827,2528,2671,2844,3098,2950,2901,3097,3025,3001,3075,1823,2743,2780,3152,2976,3179,2659,3310,3025,3404,2856,3139,2482,2250,2834
"88","1996.07.23",3395,3786,3523,3908,3604,3825,3430,3657,3656,4191,3076,3159,3353,3113,3137,2476,2969,2959,3484,3142,3516,2804,3518,3215,3798,3832,3349,2729,2871,3120
"89","1996.08.24",3394,3763,3762,4016,3652,4248,3503,4044,3785,4186,3304,3162,3511,3243,3253,2988,3249,2852,4144,3281,3476,2856,3734,3181,4108,3848,3329,2699,3673,3019
"90","1996.09.25",3041,3345,2747,3658,2927,2871,3128,3292,3161,3075,3046,3003,3167,NA,NA,NA,2414,2678,NA,NA,NA,NA,NA,3059,3434,3234,3330,NA,2042,NA
"91","1996.10.11",2778,3029,2553,3293,2832,2605,2721,2839,2796,2524,2379,2864,2474,2726,2958,2146,2689,2406,2661,2355,2382,2418,3009,2472,2944,2908,2701,2254,2356,2568
"92","1996.11.12",1027,1223,1219,1518,1021,1020,1124,1406,1124,1021,923,1894,922,1423,1323,1385,1020,1803,1026,1123,920,1321,2177,1022,1021,1117,1121,1123,825,1423
"93","1996.12.14",1003,880,1125,872,872,1014,887,1013,993,899,889,1243,996,992,873,1032,778,998,891,1003,859,885,1116,644,747,1008,880,885,891,992
"94","1997.01.15",619,759,887,759,624,767,632,775,836,427,602,884,889,618,758,1019,894,305,1018,760,878,628,760,331,686,767,654,892,763,755
"95","1997.01.31",849,720,849,938,720,861,730,858,722,858,844,834,942,828,828,878,851,830,838,712,811,712,828,834,820,849,834,733,740,715
"96","1997.03.20",757,826,764,899,749,693,754,839,835,844,770,766,767,761,761,998,774,686,762,835,667,913,829,839,833,833,769,769,765,758
"97","1997.05.07",1522,2187,1806,2603,1889,1456,1705,2098,1821,1799,1521,2415,1292,1474,1707,1995,1581,2197,1171,1171,1480,1108,2330,1712,1953,2162,1947,1050,993,1849
"98","1997.05.23",2438,3079,2425,3394,2629,2193,2675,2864,3066,2747,2702,3021,2564,2865,3016,1837,2473,2753,2382,2443,3088,2229,3570,2959,3096,2751,3060,1934,1457,3032
"99","1997.06.08",2519,3042,2561,3477,2766,2381,2656,2713,3307,2908,2993,3039,3009,3136,3038,1751,2668,2825,3001,3062,3173,2866,3514,3022,3259,3001,3214,2530,2381,2838
"100","1997.06.24",2809,3226,2690,3531,2885,2543,2823,2995,3449,3185,3075,3071,3432,3326,3133,1956,2765,2999,3262,3262,3309,3069,3403,3228,3420,3040,3496,2677,2707,2987
"101","1997.08.27",3286,3306,2969,3948,3371,3257,3401,3581,3691,4080,3538,3293,3685,3161,3258,2269,3156,3113,3255,3086,3516,3093,3518,3622,3918,3335,3651,2759,2878,3229
"102","1997.09.28",3037,3421,2809,3568,3082,3190,3110,3398,3408,3466,3424,3383,3505,3114,3236,2475,2930,3155,3462,3118,3383,3126,3262,3487,3441,3348,3686,2804,3306,3044
"103","1997.10.14",2457,2457,2291,2838,2317,2123,2305,2513,2372,2291,2318,2770,2221,2625,2625,2122,2499,2515,2596,2588,2560,2608,2897,2447,2613,2443,2822,2369,2364,2463
"104","1997.12.17",956,837,842,1078,719,729,719,844,721,727,729,1079,721,846,962,850,846,962,843,843,721,962,1198,725,717,958,841,846,843,841
"105","1998.01.02",927,666,684,676,544,577,676,818,678,693,693,804,677,686,806,717,686,929,806,559,670,686,806,675,790,685,804,813,686,806
"106","1998.01.18",635,973,523,621,619,754,635,758,750,754,761,635,746,640,651,672,761,640,867,640,858,640,869,635,746,861,754,759,755,757
"107","1998.02.19",677,677,684,770,681,693,592,512,771,682,599,679,772,773,679,712,777,676,779,683,768,686,773,674,576,779,772,777,779,676
"108","1998.04.08",798,994,802,788,863,745,865,872,873,944,761,881,820,896,1101,1093,823,1361,894,964,961,965,1178,753,939,930,1021,902,961,1033
"109","1998.04.24",987,981,935,1175,1235,882,925,999,1059,1186,1008,999,941,1059,1253,1529,1001,1316,1065,937,1116,1061,1317,811,935,1237,1313,1067,1249,1253
"110","1998.05.10",1181,1240,1178,1485,1359,834,1298,1355,1299,1520,906,1250,1193,1369,1668,2067,1187,1485,1422,1249,1436,1368,1627,1071,1426,1356,1369,1191,1531,1674
"111","1998.05.26",2534,2669,2298,3141,2487,2004,2491,2579,2815,2780,2571,3000,2225,2705,2958,2072,2374,2839,2834,2824,3143,2687,3173,2510,2778,2571,2993,2087,2370,2885
"112","1998.06.11",2901,3204,2911,3493,2953,2473,2889,3087,3463,3186,3109,3375,2973,3134,3256,2186,2808,3327,3171,3193,3333,3028,3539,3102,3397,3127,3555,2765,2823,3047
"113","1998.06.27",3070,3223,2840,3782,3050,2547,2829,3106,3532,3290,3170,3350,3057,3133,3273,2360,2996,2963,3229,3416,3571,3122,3786,3303,3539,3058,3642,2697,2866,3102
"114","1998.08.30",3699,3818,3437,3934,3433,3119,3318,3457,3595,3554,3434,3397,3570,3597,3559,2983,2974,3321,4025,3405,3708,3607,3653,3469,3644,3909,3786,3310,4265,3168
"115","1998.10.01",2970,3264,2806,3440,2934,2611,2857,2953,3124,2951,3075,3122,2922,3072,3057,2729,2828,2723,3199,2820,3139,3049,3358,3083,3289,3273,3459,2771,3262,2922
"116","1998.11.02",2256,2608,2407,2906,2347,2077,2203,2333,2333,2218,2055,2502,2020,2193,2429,1987,2334,2426,1912,1656,2022,2260,2767,2426,2441,2576,2983,1922,1808,2193
"117","1998.12.04",1004,1112,1115,1001,1113,904,890,1117,1118,1011,1120,1226,1007,1115,1007,1316,1012,1117,1009,899,1004,1009,1339,1224,1001,1117,1335,1012,914,893
"118","1998.12.20",1011,893,1016,776,779,1130,779,784,901,905,1020,1016,899,782,897,1132,786,901,903,899,889,782,1015,1016,894,907,1016,787,1020,893
"119","1999.01.05",717,834,833,712,719,833,604,832,721,835,834,721,719,835,718,839,721,721,835,720,714,724,718,836,596,946,836,838,730,600
"120","1999.02.06",850,846,857,736,1042,956,747,754,949,952,1048,948,845,849,845,1141,754,754,855,853,737,851,743,754,940,952,948,759,862,743
"121","1999.04.27",970,902,977,842,851,927,851,920,920,875,1047,977,975,916,1097,1367,925,916,979,920,845,924,906,920,972,973,1033,748,815,847
"122","1999.05.13",1328,1454,1272,1806,1163,1106,1102,1218,1218,1214,1054,1728,1051,1501,1779,1712,1327,1443,NA,1208,NA,1330,2195,1107,1218,1385,1501,1052,NA,1680
"123","1999.06.14",2930,3431,2860,3444,3074,2725,2915,2966,3549,3239,3369,3356,3195,3012,3271,2179,2865,2631,3151,3305,3563,2834,3516,3280,3505,3175,3645,2569,2696,2985
"124","1999.06.30",2980,3422,2921,3679,3036,2959,2911,3093,3546,3155,3410,3237,3300,2961,3158,1892,2803,2948,3030,3098,3351,2825,3506,3205,3596,3295,3546,2444,2605,2876
"125","1999.08.17",3698,3862,3949,4058,3635,4144,3593,4392,4123,4679,4233,3933,4314,3380,3749,3744,4001,3397,4695,4142,3934,3495,3671,3982,4169,4100,3914,3175,5357,3186
"126","1999.09.18",3384,3479,3427,3476,3426,3385,3161,3329,3193,3256,3064,3307,3191,3188,NA,3005,3083,2866,3878,3529,3036,3232,NA,3053,3181,3740,3360,2971,3681,3029
"127","1999.10.04",2885,2815,2876,3098,2779,2569,2684,2813,2405,2453,2349,2946,2543,2735,2786,2611,2770,2599,2719,2823,2303,2703,3048,2729,2548,3060,2954,2482,2644,2377
"128","1999.11.05",1897,1813,1879,2334,1897,1772,1898,1880,1542,1542,1528,2054,1723,1716,1891,1607,1944,2064,1547,1615,1461,1883,2125,1631,1460,1795,2056,1535,1535,1818
"129","1999.11.21",1530,1336,1615,2033,1233,1405,1328,1327,1132,932,1129,1523,1132,1435,1540,1851,1713,1618,1130,1413,1240,1519,1825,1331,1133,1417,1625,1228,1225,1334
"130","1999.12.23",959,727,959,843,845,850,728,1073,845,846,846,847,847,726,849,1066,1077,961,847,962,969,962,1078,1079,845,959,1073,964,1073,731
"131","2000.01.08",943,828,1054,830,828,1050,828,1056,830,943,830,715,948,596,829,1043,942,830,946,944,829,946,831,832,827,941,942,834,1163,831
"132","2000.02.09",844,739,852,834,746,1042,844,857,848,946,946,946,840,840,840,963,844,846,943,950,838,849,941,941,844,1041,848,853,954,834
"133","2000.03.12",876,873,950,797,877,878,799,953,876,810,1031,886,808,876,882,1151,814,886,875,879,875,803,878,810,875,951,886,803,884,803
"134","2000.04.13",1077,884,1020,883,768,910,899,911,900,913,1032,842,902,839,902,1420,851,904,969,1095,841,969,965,967,1025,957,907,850,979,770
"135","2000.06.16",2102,1557,2196,2665,2281,1955,1915,1187,1439,2024,1394,1590,1166,2332,1272,1288,1022,2023,1409,1673,1753,1246,1722,1132,1407,1394,1663,1941,1037,1145
"136","2000.08.03",2956,2519,3034,3666,3172,2875,3032,3119,3445,3197,3314,3272,3232,3331,3308,2639,2988,2945,3489,3634,3749,3380,3825,3384,3487,3239,3783,3027,3022,2236
"137","2000.09.04",3116,3634,3207,3600,3209,2954,3000,3515,3351,3314,3415,3661,3673,3549,3724,3628,3467,3121,3918,3933,3687,3638,3979,3483,3499,3361,3791,3691,3918,3329
"138","2000.10.06",2955,3223,2804,2876,3005,2657,2763,2953,2896,2826,2975,3362,2831,3235,3084,2440,3076,2950,3141,3207,3101,2943,3420,2885,2986,3164,3159,3008,2950,3083
"139","2000.11.23",1281,1272,1270,1282,1275,1263,1173,1184,852,859,966,1278,743,1098,1213,1278,1184,1283,895,898,895,1216,1435,1075,851,1376,1182,998,668,1193
"140","2000.12.25",856,868,756,714,847,884,849,861,726,737,851,975,842,853,853,903,985,860,727,977,716,862,862,728,717,981,860,862,727,979
"141","2001.01.26",828,709,497,591,598,623,497,493,493,499,722,823,595,716,607,859,722,722,722,939,714,613,721,709,595,612,611,724,496,942
"142","2001.02.11",862,758,468,450,562,581,559,664,661,572,766,761,555,761,763,605,673,666,1058,661,862,768,764,659,654,760,666,673,564,1061
"143","2001.03.15",1415,1117,886,882,1039,674,882,963,883,738,814,1273,645,1127,1207,913,1124,1120,1877,1046,1290,1282,1135,1203,1122,1341,1280,1129,661,1511
