"","date","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"1","1986.01.17",985,881,777,714,790,886,879,1089,890,987,985,1271,1193,1486,903,1206,1094,569,673,787,785,898,799,488,603,677,891,707,805,675
"2","1986.03.22",804,1001,809,997,937,999,1062,936,939,1059,1187,1056,1126,1250,874,1191,1060,681,746,675,810,878,756,766,774,1120,810,817,879,807
"3","1986.06.10",959,1172,1278,1130,1229,1228,1174,1328,1278,1330,1531,1231,1436,1483,1065,1382,1079,970,925,854,973,980,1026,943,1053,1131,1023,1039,923,1073
"4","1986.09.14",1699,1569,1817,1950,2033,1853,2118,1861,2140,1861,2169,1721,1948,1931,1931,1948,1863,1698,1631,1962,1880,1793,1624,1433,1536,2247,2003,1722,1801,1831
"5","1987.01.04",675,782,1006,810,898,788,894,890,1204,1109,1004,1312,1008,1224,512,1009,1003,666,773,544,664,798,586,589,709,908,780,687,801,532
"6","1987.02.05",702,793,797,922,909,990,892,898,1004,996,995,1091,1183,1271,560,1087,1001,492,493,605,709,825,556,660,761,836,698,644,742,497
"7","1987.04.10",843,845,906,975,860,909,961,854,1029,1082,1029,1194,1084,1141,852,1084,971,678,795,787,793,751,749,764,833,1086,793,762,859,735
"8","1987.05.12",1180,1291,1344,1438,1598,1446,1508,1500,1493,1392,1603,1492,1399,1501,1182,1662,1395,1081,1243,1186,1243,1192,1139,1145,1104,1296,1243,1295,1188,1349
"9","1987.06.13",1226,1279,1438,1284,1334,1281,1441,1437,1335,1386,1492,1436,1439,1541,1114,1491,1437,1075,1034,1176,1234,1139,1083,1050,1205,1289,1182,1192,1024,1183
"10","1987.06.29",1100,1210,1411,1208,1208,1310,1421,1308,1309,1259,1516,1406,1420,1469,937,1521,1357,951,958,1105,1160,1060,1011,1115,1122,1211,1158,1163,1007,1109
"11","1987.08.16",1522,1576,1790,1925,1832,1728,1810,1680,1835,1623,1736,1663,1808,1681,2215,1741,1670,1463,1573,1701,1689,1564,1571,1504,1593,2371,1691,1505,1683,1636
"12","1987.09.01",1722,1783,1825,2073,2084,1644,1719,1476,1640,1649,1819,1581,1779,1823,2073,1657,1813,1368,1721,1849,1773,1707,1596,1420,1568,1923,1780,1583,1769,1910
"13","1987.10.03",1484,1486,1612,1700,1905,1468,1810,1415,1473,1607,1546,1471,1623,1678,1287,1559,1553,1291,1494,1496,1490,1351,1287,1101,1343,1287,1493,1538,1482,1566
"14","1987.10.19",1279,1279,1567,1586,1606,1408,1633,1062,1410,1413,1418,1469,1498,1558,1064,1434,1415,989,1136,1287,1284,1274,1071,1008,1141,1138,1211,1207,1278,1212
"15","1988.05.14",893,1054,1061,1023,1070,1165,1162,1214,1216,1314,1317,1215,1265,1367,842,1317,1165,912,914,1013,1067,1019,919,933,860,1025,1016,979,965,1012
"16","1988.06.15",907,962,1178,1000,1092,1129,1074,1072,1133,1178,1380,1185,1275,1326,750,1228,1231,870,883,914,1029,936,884,1001,883,991,924,1044,922,1020
"17","1988.07.09",946,891,1206,1030,1117,1150,1195,1142,1055,1096,1260,1271,1291,1402,715,1199,1205,800,879,1015,885,896,912,904,932,1122,827,933,836,978
"18","1988.07.25",1141,1259,1382,1399,1499,1342,1279,1378,1287,1333,1554,1352,1550,1611,1548,1336,1390,1219,1177,1321,1170,1134,1287,1157,1277,1815,1115,1192,1109,1101
"19","1988.09.19",1415,1479,1723,1730,1918,1461,1648,1472,1580,1587,1649,1630,1916,1836,2308,1601,1524,1481,1418,1551,1416,1405,1526,1403,1503,1746,1479,1402,1411,1551
"20","1989.04.15",972,1087,1033,993,1092,1090,1144,1253,1197,1144,1309,1302,1317,1421,648,1258,1200,808,813,803,870,826,881,891,955,888,980,991,712,920
"21","1989.05.01",895,1006,1113,1016,1113,1215,1217,1219,1112,1112,1215,1209,1274,1269,690,1327,1164,745,750,742,856,862,864,972,979,967,906,970,804,904
"22","1989.06.10",879,880,1099,892,980,1010,1052,995,1004,1096,1146,1200,1284,1383,631,1142,1104,748,722,781,805,773,777,852,873,880,850,849,656,845
"23","1989.06.18",725,937,1100,827,1013,1006,1101,1100,1001,1101,1252,1203,1148,1302,579,1099,1054,737,700,676,744,758,856,679,801,864,742,919,796,843
"24","1989.06.26",656,919,1088,842,932,1000,1091,936,945,1036,1138,1150,1176,1281,615,1184,1056,782,705,720,791,859,811,837,829,815,734,883,692,791
"25","1989.07.04",898,1006,1127,995,994,1133,1130,1020,1080,1076,1181,1186,1226,1227,645,1177,1035,809,769,749,874,932,880,898,969,940,815,945,923,866
"26","1989.07.20",882,1049,1281,1037,1036,1077,1124,906,1022,1122,1235,1341,1227,1389,691,1282,1185,823,881,976,941,922,952,973,1084,1236,885,1022,847,962
"27","1989.10.08",1102,1027,1312,1312,1184,1444,1379,1383,1704,1447,1645,1508,1659,1652,910,1384,1249,1040,966,1251,1322,1188,1261,1066,1200,1379,1180,1189,1320,1250
"28","1989.10.24",1013,1246,1247,1174,1242,1314,1242,1247,1456,1463,1613,1525,1631,1689,811,1327,1246,1173,1176,1410,1329,1390,1393,1315,1243,1382,1329,1108,1389,1173
"29","1990.04.18",699,757,884,815,744,951,889,889,952,1003,1112,1167,1109,1222,478,1111,955,662,721,764,778,744,685,702,727,802,721,755,673,718
"30","1990.05.04",711,713,842,768,712,753,791,892,961,1058,957,1168,1163,1162,499,1165,965,630,748,731,745,762,761,673,844,715,795,724,756,690
"31","1990.06.05",601,766,888,774,811,897,838,838,898,1091,996,1149,1087,1142,486,1036,954,681,635,721,683,749,852,771,842,850,788,771,638,836
"32","1990.06.21",693,753,933,810,900,896,943,827,890,1037,1040,1044,1082,1137,479,1189,996,668,677,712,731,691,689,712,879,750,777,860,626,674
"33","1990.08.24",2140,2099,2190,2446,2906,2456,3667,2194,2385,2068,2515,1928,2162,2086,2809,2084,2149,1797,1843,2159,1962,2056,1725,1710,1688,2794,2022,1968,2009,2094
"34","1990.09.09",1882,1765,1884,1962,2227,2027,2867,2003,2221,1933,2356,1855,1949,1939,2195,1949,1739,1644,1642,1911,1835,1693,1578,1508,1503,2447,1901,1683,1753,1706
"35","1990.10.11",1519,1459,1598,1539,1496,1692,1923,1589,1768,1718,1861,1756,1746,1866,1774,1675,1509,1312,1321,1618,1389,1444,1237,1170,1225,2205,1462,1301,1439,1177
"36","1990.10.27",1079,1317,1389,1285,1225,1514,1600,1962,1598,1460,1533,1589,1629,1541,1373,1568,1307,1005,1002,1240,1159,1231,1085,1086,1018,1796,1240,1156,1305,1080
"37","1991.03.20",NA,781,663,871,771,NA,NA,783,858,983,1049,1173,1049,1182,917,1049,855,578,576,642,578,669,599,614,637,862,649,680,597,704
"38","1991.04.05",731,793,860,885,873,871,864,797,1102,1045,1046,1107,979,1165,921,982,987,623,681,736,683,759,703,603,737,994,745,825,700,672
"39","1991.04.21",921,867,1040,1149,1200,947,NA,891,NA,NA,NA,NA,NA,NA,NA,NA,997,870,929,922,873,885,938,889,806,1151,929,944,931,979
"40","1991.05.23",1041,934,1093,995,1191,1192,1248,1196,1194,1195,1350,1239,1145,1356,670,1251,1144,784,892,826,1045,946,895,899,866,946,837,996,994,1044
"41","1991.06.24",1063,1118,1171,1070,1020,1169,1219,1116,1118,1119,1220,1170,1223,1273,681,1275,1068,862,809,853,862,867,865,877,942,1071,916,926,813,963
"42","1991.09.04",1673,1546,1613,1562,1672,1848,2429,1737,1974,1682,1984,1686,1879,1687,1189,1498,1632,1190,1190,1303,1313,1149,1158,1177,1256,1456,1190,1393,1566,1629
"43","1991.10.14",1334,1338,1407,1377,1260,1386,1586,1404,1327,1334,1402,1391,1551,1540,1060,1197,1196,1206,1133,1494,1276,1201,1200,1133,1323,1593,1419,1331,1400,1344
"44","1992.05.09",1404,1295,1295,1638,1497,1499,1662,1408,1457,1358,1622,1339,1450,1498,1144,1473,1424,1271,1378,1442,1488,1483,1271,1265,1308,1482,1544,1367,1425,1437
"45","1992.06.10",1496,1549,1598,1430,1335,1482,1736,1596,1489,1543,1747,1534,1761,1650,1394,1443,1588,1244,1296,1351,1402,1350,1295,1344,1340,1505,1455,1342,1295,1349
"46","1992.06.26",1288,1452,1445,1239,1237,1337,1490,1393,1390,1393,1548,1440,1556,1608,1017,1342,1388,1186,1080,1238,1185,1031,1190,1142,1100,1241,1238,1241,1134,1237
